Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
YESBANK,Midcap,18.49,26.08,0.53,41.1,0.7,17.06,32.85,20.89,98.91,-,-,-,-,4.08,0.46,42.05,1.2,,underperform,16.27
SRF,Midcap,"2,570.40",67.45,0.59,63.01,38.09,"2,089.10","2,697.70",-1.83,-34.87,8.36,17.53,0.46,1.03,9.88,5.12,11.06,,0.44,hold,2303.68
SBICARD,Midcap,753.7,32.41,0.37,62.64,23.25,647.95,817.4,1.3,-4.19,20.77,-,20.66,20.66,18.31,3.94,-1.73,5.48,3.3,hold,716.75
FEDERALBNK,Midcap,192.92,11.41,0.94,45.62,16.75,139.65,217.0,21.43,-0.3,-,-,-,-,13.95,1.32,39.38,1.44,,buy,226.06
MARICO,Midcap,657.95,53.49,0.25,57.16,12.26,486.3,719.85,3.56,12.68,15.87,20.53,1.17,2.04,33.74,14.9,24.13,,0.1,buy,708.34
COLPAL,Midcap,"2,708.60",50.15,0.38,47.9,54.02,"2,476.25","3,890.00",10.39,25.24,24.48,33.16,1.01,1.31,86.0,36.23,89.63,,0.04,hold,3052.0
CONCOR,Midcap,748.5,35.32,0.62,42.84,20.86,725.0,"1,180.00",7.14,7.18,14.2,21.77,3.27,3.79,10.62,6.24,28.22,3.69,0.07,hold,915.82
MPHASIS,Midcap,"2,936.60",33.76,0.76,53.98,86.55,"2,187.00","3,237.95",5.64,4.87,11.8,15.98,1.47,1.58,18.59,8.98,4.43,,0.2,buy,3191.12
POLICYBZR,Midcap,"1,678.10",369.24,0.52,37.35,4.45,852.0,"2,246.90",39.97,-,5.06,-2.8,5.92,6.05,3.54,-1.55,115.06,12.55,0.05,hold,1758.45
DIXON,Midcap,"15,433",111.6,0.54,39.63,138.28,"5,800","19,149",106.39,130.84,2.38,3.48,0.6,1.02,24.94,5.75,174.32,39.23,0.31,buy,16620.0
MRF,Midcap,"111,256",24.28,0.39,20.04,"4,592.00","110,100","151,445",10.12,15.18,7.32,15.34,0.74,1.42,11.63,6.12,29.1,2.68,0.18,underperform,118412.55
ACC,Midcap,"1,995.40",14.47,0.48,49.97,137.86,"1,838.60","2,844.00",5.95,69.58,10.16,13.44,0.52,1.55,12.95,5.18,24.91,2.26,0.03,buy,2582.74
HINDPETRO,Midcap,345.95,12.21,0.97,33.95,28.33,286.77,457.15,2.68,-64.36,1.38,3.76,0.2,0.61,40.45,7.1,53.7,1.61,1.58,buy,399.35
MUTHOOTFIN,Midcap,"2,138.10",18.36,0.98,55.67,116.53,"1,261.90","2,275.00",24.7,17.46,45.63,-,114.56,114.56,19.12,4.82,62.29,3.23,3.01,none,2161.1
GMRAIRPORT,Midcap,70.81,,0.8,33.47,-1.24,69.27,103.75,23.47,-,-8.99,33.8,0.63,0.88,-1671.32,2.07,176.31,,,none,85.33
PHOENIXLTD,Midcap,"1,483.95",50.26,0.71,42.63,33.74,"1,135.05","2,068.50",-,30.55,26.19,55.46,0.31,0.73,10.8,6.24,104.48,,0.35,buy,1674.47
CUMMINSIND,Midcap,"2,804.05",39.41,0.9,25.96,70.34,"2,161.90","4,171.90",17.27,34.89,20.13,23.3,2.35,2.99,29.89,14.8,124.77,,0.0,hold,3624.08
KPITTECH,Midcap,"1,301.50",48.87,1.05,37.44,26.63,"1,268.95","1,928.70",27.88,49.35,13.45,18.48,1.14,1.3,33.43,13.69,41.6,14.12,0.14,buy,1701.06
TATACOMM,Midcap,"1,569.40",43.68,1.51,37.19,39.19,"1,560.00","2,175.00",15.63,14.77,4.87,16.92,0.36,0.44,58.08,4.88,-3.78,25.17,6.97,hold,1839.43
